title,date,source,link,month
"Even without social media, phones have a subtle, damaging effect on our mental health | Devi Sridhar - The Guardian",2026-04-26 19:28:00,The Guardian,https://news.google.com/rss/articles/CBMinAFBVV95cUxOemgxQkN0YUZTc3RQT3JpVGhFS3FGd2N2MHRaQkF6NTRyMURNQ19ETUJZYkRzNnRwbHlFTWRKSjdSbU9rOEEzX08zSE1uczJOT05MMlVvLVVZeDM4Rml0ZmtnaTA5cEUxWVlkek9memVUVW9ub0tZS0xmY2x3eTlHNy04SXpLZjk0cVdWSW9YRmhhZlRKeVNKSkRqVFY?oc=5,2026-04
Children’s extended social media use linked to increased depression and anxiety - Imperial College London,2026-03-23 07:00:00,Imperial College London,https://news.google.com/rss/articles/CBMixAFBVV95cUxNRWREQjRKT1JNNFVycmZvcW9qZ0pEQ0tTc0p0aTN5TnlLOWNydkVvUUg4bUhCVzVpU3pJTkZ6bE9TV0RZSFlFSGY3MHdSSWZ1eTBPNExaVmxSdmh6LVdIVkd5YkVMaWdfREkwblB0QVBzLVN5a3p6T09HamJIdWd4VXpWQTE3TE9ZWXdGMFlWdXJUUVotYTIwY0NobE92dXB5anBiLS1QX0FSQ0ozV1ZONVd2WDVPMmI3blNaMm5OdGtaUERQ?oc=5,2026-03
Cricket club bans social media comments to protect players’ mental health - Al Jazeera,2026-05-01 15:05:41,Al Jazeera,https://news.google.com/rss/articles/CBMitAFBVV95cUxQUDNtX2xlbjlOMWQta2tOMVE5V2xNVTA4Sy0xUVdTd1lfWThlck9GeVpGSkRFQ1Z2MkhXQXpzeWFZZWdHeGhhMWpFQ0hTd1hTRFQ1Z3BvemdzMDd4amt4enB6OTEyaUZGV2R6ek5mcFB5T1FDdmFSWnNBeV9BR1ZtSWk2S1F2bTVTdnE1enIzeWZ6YnRrZHFzajVwZk5SVmxCX1ItSEVEUGxoWVVRLVdoTVB5ci3SAboBQVVfeXFMUDRQYzhPY3ZTcVNXMDJJVndBX21XYnpLUE9UVWZuRnFaaTFCWEZydGZ1d0tPczBYeFNXNXFvVEVQeWtlWlFnd0dBQ1VSZmtyaUhUQ1JNOVpRcExRZWZTajdYQUVOYzJWUlR1azY1T0Fza1pIanNUOXB6bXRhRXdJQnhNNUJKOC10UVFldEE4NjhvQ1JBLXpWakxtUERJdS1laUJFNmJ1SThGQWZtZHo3aGtHeW5kcFc3Y0hR?oc=5,2026-05
Thousands of UK schoolchildren to take part in major study of social media use and teen mental health - University of Cambridge,2026-01-20 08:00:00,University of Cambridge,https://news.google.com/rss/articles/CBMic0FVX3lxTE8zTy11RlVqb3Zkb2J5TkJFQXdUZnd2SURTU2RGVTQ4akpEcjh3cFlMZzhkYmszdEJsMGkzUEg3cW9BSnFFYUl2ZkROeTdIVHJZSjdxaUJhNnlLU3hZY1Y2ZENNN1pHXzZkRGw1UkFiZ1FBaG8?oc=5,2026-01
Time spent on gaming and social media not to blame for teen mental health issues - The University of Manchester,2026-01-14 08:00:00,The University of Manchester,https://news.google.com/rss/articles/CBMihAFBVV95cUxNZ01yOVk2eDUtZXdSeTJ5S09hU3VnSEVuSGFiT0tnYldqQTc1VDNBNG5ubjhjZW9qaFZ6eVpHdEU3Nm1xeldUZUJSbGNLVlloRk1tUm05di10RFRSaTNSWlY1R1R2bHB3SklzcHl2MjdLOEZHVXB2czZsaWo3LWlOaHVSSlo?oc=5,2026-01
More Than One in Three Say Social Media Harms Their Mental Health - EMJ,2026-02-25 08:00:00,EMJ,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQWFBITE83XzdOS0NidzM0WUVya1djZl96eVRicDZXeXd3OWZOOUl1LU9KcjhqRnJvaU5TX0JEa09RdjRxSk1UUGkwNDM3QzJEblNHQmhiaGhXVU5jelNXQkp0YXl3YjZMUmhQMjhKN1gwdkpvQzJiTWViSC1RWDNwcS0wcjRLN1duV29CTjBzdTU0NVRjcVZxYy0yeVFnY2lTY1RMMElvOTdKZVRmNV80RVM1U2JlS0E5?oc=5,2026-02
Thematic dialogue on social media and children’s mental health - coe.int,2026-04-17 11:43:19,coe.int,https://news.google.com/rss/articles/CBMinwFBVV95cUxNdEhKMmNTN3c4VVdqVVJXYVE3SE5vZkFxWlU1UFpmSVJINjdQMGJGaHFNeHR1aHA4U2tya3lRZGRZaUNFbHVxbmVPQ1JyYkt5R3U3azVuWEhMaEw4SDVOZG9zdzQ0b3lzX2RRQWY4UkNhSk1walN3Nkhub0VBcHZlVnoyZFJmd0Y3UENRVlN3dWZLeUc4VVNlYW0xOTFrVUE?oc=5,2026-04
Social Media and the Effects on Teens - Healthline,2026-04-30 00:38:03,Healthline,https://news.google.com/rss/articles/CBMicEFVX3lxTE1yNC1IVFNkWkVYQnVpV3owMF9DZFMtakNWVmhHSWtpcE9rTlpIVU1zd2tiQWpDXy1oQ29lRVF1STEwNVY4N3dQbzhaaUc0SHR3RlJ1ZVIwUGh4U01IZnRyNkNKWU5ELXdXMnNLWW5mUmg?oc=5,2026-04
Mental health and digital use for youth - World Health Organization (WHO),2026-04-16 07:00:00,World Health Organization (WHO),https://news.google.com/rss/articles/CBMi1AFBVV95cUxPX1ZPbjl3VVRibjdqMTdoWndQbG4zbGlqRHpST1I1bzF2blllb3FyN01raEx3MFIwZzVlUDhQSzBfbXNPOHNkZG01ek9FQnZjLVV1RzFpUFVGTmhNNGZRbndmb3JTZTMzYzhSeXJFcHNmZXFUbE9vUzhHWU52YzdzbkhvR3VvMTJIV2VfWVRTZWtjcTlhVzVVSlRRQzBMLXBzd2Z3NlFVeGZKWGR2dFRKNHpyN3UzdjExSEdHRVdKcmVoYVhNMF83WE4wM3AwSlNuMm1NMw?oc=5,2026-04
"Social media may not be harming teenagers’ mental health, study finds - Euronews.com",2026-01-16 08:00:00,Euronews.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxPUktjTEwtXzZJa2Q2MFplSmNDaWV4V2Z6amNRWEZKWWpjRlhsaDQ3WTJsSjl5YnlMNUUxNVQ5dzNDaW9xTTE5NHlZSFVVTk9GVVk1cFQ0VEtsZnY2Nlc4ZHFmZUI5dEZWRjJwMVVGWjJiSjZ5ZkRIWWdSZ2FKY1FMWjI3LUxSQkticmkzMkpJYWhWRnlZMGRCZ3E1cFRtb0N6V3VTaEpKbUVSREl6RkwtNm9oS3VpaTg4anhPMURmQ0J6VmNCd2FQZ29PVGRWUQ?oc=5,2026-01
